Dungeon Name,Adventurer 1 Class,Adventurer 1 Level,Adventurer 2 Class,Adventurer 2 Level,Adventurer 3 Class,Adventurer 3 Level,Adventurer 4 Class,Adventurer 4 Level,Encounter 1,Encounter 2,Encounter 3,Encounter 4,Encounter 5,Encounter 6,Encounter 7,Encounter 8,Encounter 9,Encounter 10,Encounter 11,Encounter 12,Threat Level,# Encounters,# Encounters Beaten,Victory?,Defeated By,# of Fighter Adventurers,Total Level of Fighter Adventurers,Max Level of Fighter Adventurers,# of Ranger Adventurers,Total Level of Ranger Adventurers,Max Level of Ranger Adventurers,# of Mage Adventurers,Total Level of Mage Adventurers,Max Level of Mage Adventurers,# of Cleric Adventurers,Total Level of Cleric Adventurers,Max Level of Cleric Adventurers,# of Druid Adventurers,Total Level of Druid Adventurers,Max Level of Druid Adventurers,# of Rogue Adventurers,Total Level of Rogue Adventurers,Max Level of Rogue Adventurers,# of Goblins Encounters,# of Goblin Chieftain Encounters,# of Wolves Encounters,# of Orcs Encounters,# of Orc Warlord Encounters,# of Orc Shaman Encounters,# of Skeletons Encounters,# of Zombies Encounters,# of Ghosts Encounters,# of Basilisk Encounters,# of Lich Encounters,# of Dragon Encounters,# of Boulder Trap Encounters,# of Lever Puzzle Room Encounters,# of Riddle Door Encounters,# of Cursed Altar Encounters,# of Snake Pit Encounters,# of Poison Needle Trap Encounters
Infernal Den of Galoron,Fighter,4,Cleric,3,Ranger,4,Fighter,2,Boulder Trap,Skeletons,Lich,,,,,,,,,,2.5,3,3,1,,2,6,4,1,4,4,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Orc Camp of Lemarchand,Ranger,2,Cleric,3,Rogue,5,Ranger,2,Orcs,Orcs,Snake Pit,Orcs,Orcs,Snake Pit,Orc Shaman,,,,,,3.5,7,3,0,Orcs,0,0,0,2,4,2,0,0,0,1,3,3,0,0,0,1,5,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Undead Sepulcher of Azmar,Mage,5,Rogue,4,Ranger,5,Rogue,6,Zombies,Skeletons,Skeletons,Boulder Trap,Boulder Trap,Zombies,Lich,,,,,,4.5,7,6,0,Lich,0,0,0,1,5,5,1,5,5,0,0,0,0,0,0,2,10,6,0,0,0,0,0,0,2,2,0,0,1,0,2,0,0,0,0,0
Undead Ziggurat of Cheliax,Ranger,5,Cleric,5,Druid,4,Mage,4,Cursed Altar,Cursed Altar,Zombies,Skeletons,Zombies,Lich,,,,,,,4.0,6,6,1,,0,0,0,1,5,5,1,4,4,1,5,5,1,4,4,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,0,0
Timeless Treasure of Lakeshore,Rogue,3,Mage,5,Ranger,2,Fighter,4,Cursed Altar,Zombies,Boulder Trap,Skeletons,Goblins,Riddle Door,Poison Needle Trap,Boulder Trap,,,,,3.575,8,8,1,,1,4,4,1,2,2,1,5,5,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,1
Undead Pyramid of Lakeshore,Fighter,5,Cleric,5,Ranger,4,Mage,5,Boulder Trap,Ghosts,Skeletons,Skeletons,Zombies,Zombies,Boulder Trap,Zombies,Boulder Trap,Ghosts,,,5.25,10,10,1,,1,5,5,1,4,4,1,5,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,3,0,0,0,0,0
Sunken Tomb of Galoron,Ranger,4,Mage,2,Rogue,3,Cleric,3,Skeletons,Boulder Trap,Cursed Altar,Lich,,,,,,,,,3.0,4,4,1,,0,0,0,1,4,4,1,2,2,1,3,3,0,0,0,1,3,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
Nightmare Maw of Almadris,Ranger,3,Fighter,2,Rogue,5,Cleric,2,Goblins,Goblins,Boulder Trap,Lever Puzzle Room,Basilisk,,,,,,,,2.65,5,4,0,Basilisk,1,2,2,1,3,3,0,0,0,1,2,2,0,0,0,1,5,5,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Lost Dungeon of Icemarch,Mage,2,Ranger,1,Rogue,2,Rogue,2,Snake Pit,Cursed Altar,Zombies,Riddle Door,Riddle Door,,,,,,,,2.25,5,2,0,Zombies,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0
Ancient Den of Khaz-Gorond,Druid,3,Rogue,4,Ranger,4,Fighter,3,Lever Puzzle Room,Wolves,Wolves,Dragon,,,,,,,,,4.25,4,4,1,,1,3,3,1,4,4,0,0,0,0,0,0,1,3,3,1,4,4,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Undead City of Stormwind,Rogue,3,Ranger,3,Ranger,2,Fighter,3,Boulder Trap,Ghosts,Zombies,Skeletons,Boulder Trap,Ghosts,,,,,,,3.25,6,3,0,Skeletons,1,3,3,2,5,3,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0
Timeless Dungeon of Lemarchand,Druid,3,Mage,4,Rogue,6,Cleric,4,Boulder Trap,Ghosts,Lever Puzzle Room,Poison Needle Trap,Skeletons,Riddle Door,Poison Needle Trap,,,,,,3.5,7,7,1,,0,0,0,0,0,0,1,4,4,1,4,4,1,3,3,1,6,6,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,2
Undead Sepulcher of Lakeshore,Cleric,3,Fighter,4,Rogue,3,Ranger,3,Ghosts,Boulder Trap,Boulder Trap,Skeletons,Ghosts,Zombies,,,,,,,3.25,6,6,1,,1,4,4,1,3,3,0,0,0,1,3,3,0,0,0,1,3,3,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0
Forgotten Dungeon of Stormwind,Cleric,1,Ranger,2,Ranger,1,Rogue,3,Riddle Door,Riddle Door,Zombies,Lever Puzzle Room,Riddle Door,,,,,,,,2.25,5,2,0,Zombies,0,0,0,2,3,2,0,0,0,1,1,1,0,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0
Forgotten Treasure of Sintharion,Mage,2,Ranger,2,Druid,2,Rogue,2,Poison Needle Trap,Lever Puzzle Room,Riddle Door,Skeletons,Boulder Trap,,,,,,,,2.25,5,4,0,Boulder Trap,0,0,0,1,2,2,1,2,2,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
Old Cave of Almadris,Druid,1,Fighter,1,Rogue,3,Rogue,4,Goblins,Poison Needle Trap,Basilisk,,,,,,,,,,1.8250000000000002,3,2,0,Basilisk,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,7,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Orc Warcamp of Limeneth,Fighter,4,Cleric,2,Mage,3,Rogue,6,Snake Pit,Orcs,Snake Pit,Wolves,Orcs,Orc Shaman,,,,,,,3.25,6,5,0,Orc Shaman,1,4,4,0,0,0,1,3,3,1,2,2,0,0,0,1,6,6,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Timeless Treasure of Calantha,Ranger,1,Rogue,2,Druid,2,Mage,3,Boulder Trap,Poison Needle Trap,Riddle Door,Skeletons,,,,,,,,,1.75,4,4,1,,0,0,0,1,1,1,1,3,3,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
Forgotten Temple of Cheliax,Druid,4,Cleric,3,Rogue,6,Mage,5,Skeletons,Zombies,Poison Needle Trap,Snake Pit,Wolves,Poison Needle Trap,Ghosts,Cursed Altar,Snake Pit,,,,4.75,9,9,1,,0,0,0,0,0,0,1,5,5,1,3,3,1,4,4,1,6,6,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,2,2
Forgotten Treasure of Almadris,Druid,6,Ranger,6,Cleric,4,Rogue,6,Snake Pit,Dragon,Zombies,Riddle Door,Lever Puzzle Room,Ghosts,Poison Needle Trap,,,,,,5.5,7,3,0,Riddle Door,0,0,0,1,6,6,0,0,0,1,4,4,1,6,6,1,6,6,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1
Sunken Maw of Limeneth,Ranger,3,Mage,3,Fighter,3,Mage,3,Snake Pit,Wolves,Cursed Altar,Dragon,,,,,,,,,4.0,4,3,0,Dragon,1,3,3,1,3,3,2,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Nightmare Lair of Sintharion,Ranger,3,Cleric,3,Druid,4,Mage,3,Skeletons,Skeletons,Skeletons,Lever Puzzle Room,Lich,,,,,,,,3.5,5,5,1,,0,0,0,1,3,3,1,3,3,1,3,3,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0
Mountain Goblin Tower of Lakeshore,Ranger,2,Fighter,1,Mage,1,Mage,2,Boulder Trap,Goblins,Goblins,Goblin Chieftain,,,,,,,,,1.65,4,3,0,Goblin Chieftain,1,1,1,1,2,2,2,3,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Abandoned Dungeon of Calantha,Rogue,3,Mage,5,Druid,3,Mage,2,Zombies,Cursed Altar,Snake Pit,Zombies,Snake Pit,Lever Puzzle Room,Ghosts,,,,,,3.5,7,6,0,Ghosts,0,0,0,0,0,0,2,7,5,0,0,0,1,3,3,1,3,3,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,2,0
Orc Tower of Lakeshore,Cleric,5,Mage,5,Ranger,5,Ranger,4,Orcs,Cursed Altar,Orc Shaman,Wolves,Cursed Altar,Wolves,Orc Warlord,,,,,,4.75,7,6,0,Orc Warlord,0,0,0,2,9,5,1,5,5,1,5,5,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0
Infernal Tomb of Khaz-Gorond,Ranger,4,Druid,3,Cleric,4,Druid,4,Cursed Altar,Skeletons,Zombies,Lever Puzzle Room,Lich,,,,,,,,3.5,5,5,1,,0,0,0,1,4,4,0,0,0,1,4,4,2,7,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
Abandoned Dungeon of Limeneth,Rogue,4,Rogue,5,Fighter,4,Druid,4,Zombies,Ghosts,Lever Puzzle Room,Poison Needle Trap,Basilisk,Zombies,Poison Needle Trap,,,,,,4.25,7,7,1,,1,4,4,0,0,0,0,0,0,0,0,0,1,4,4,2,9,5,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,2
Old Lair of Lemarchand,Cleric,3,Cleric,3,Fighter,2,Druid,4,Skeletons,Zombies,Cursed Altar,Basilisk,,,,,,,,,2.5,4,4,1,,1,2,2,0,0,0,0,0,0,2,6,3,1,4,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
Timeless Treasure of Khaz-Gorond,Druid,6,Cleric,5,Fighter,6,Cleric,5,Cursed Altar,Cursed Altar,Ghosts,Ghosts,Cursed Altar,Basilisk,Basilisk,,,,,,5.25,7,7,1,,1,6,6,0,0,0,0,0,0,2,10,5,1,6,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0
Undead Pyramid of Stormwind,Fighter,7,Druid,6,Cleric,5,Mage,6,Zombies,Skeletons,Zombies,Skeletons,Poison Needle Trap,Skeletons,Poison Needle Trap,Skeletons,Poison Needle Trap,Lich,,,6.0,10,10,1,,1,7,7,0,0,0,1,6,6,1,5,5,1,6,6,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,3
Abandoned Dungeon of Lemarchand,Cleric,2,Mage,2,Rogue,3,Fighter,2,Boulder Trap,Skeletons,Lever Puzzle Room,Lever Puzzle Room,Zombies,,,,,,,,2.25,5,3,0,Lever Puzzle Room,1,2,2,0,0,0,1,2,2,1,2,2,0,0,0,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0
Infernal Den of Riverfell,Cleric,3,Fighter,3,Mage,4,Druid,6,Snake Pit,Riddle Door,Zombies,Skeletons,Skeletons,Dragon,,,,,,,4.75,6,5,0,Dragon,1,3,3,0,0,0,1,4,4,1,3,3,1,6,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,1,0
Night Goblin Cave of Darkflight Pass,Druid,5,Ranger,4,Mage,3,Mage,3,Goblins,Goblins,Goblins,Goblins,Boulder Trap,Goblins,Ghosts,Boulder Trap,Boulder Trap,Goblin Chieftain,,,4.375,10,7,0,Boulder Trap,0,0,0,1,4,4,2,6,3,0,0,0,1,5,5,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
Nightmare Cave of Calantha,Cleric,4,Fighter,4,Druid,4,Druid,5,Boulder Trap,Lever Puzzle Room,Riddle Door,Skeletons,Skeletons,Lich,,,,,,,4.0,6,6,1,,1,4,4,0,0,0,0,0,0,1,4,4,2,9,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0
Orc Citadel of Lemarchand,Cleric,5,Druid,4,Ranger,6,Druid,4,Orcs,Orcs,Orcs,Orcs,Orcs,Snake Pit,Snake Pit,Snake Pit,Orc Warlord,,,,5.0,9,4,0,Orcs,0,0,0,1,6,6,0,0,0,1,5,5,2,8,4,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0
Dread Maw of Limeneth,Rogue,4,Cleric,2,Ranger,4,Rogue,4,Zombies,Zombies,Poison Needle Trap,Lever Puzzle Room,Basilisk,,,,,,,,3.0,5,4,0,Basilisk,0,0,0,1,4,4,0,0,0,1,2,2,0,0,0,2,8,4,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1
Nightmare Lair of Khaz-Gorond,Cleric,3,Rogue,6,Ranger,3,Druid,4,Boulder Trap,Skeletons,Zombies,Dragon,,,,,,,,,3.75,4,3,0,Dragon,0,0,0,1,3,3,0,0,0,1,3,3,1,4,4,1,6,6,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
Forgotten Dungeon of Lemarchand,Rogue,4,Fighter,2,Cleric,3,Cleric,3,Cursed Altar,Zombies,Cursed Altar,Poison Needle Trap,Cursed Altar,,,,,,,,2.25,5,5,1,,1,2,2,0,0,0,0,0,0,2,6,3,0,0,0,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1
Night Goblin Fort of Limeneth,Rogue,2,Fighter,4,Druid,1,Mage,2,Goblins,Goblins,Poison Needle Trap,Ghosts,Poison Needle Trap,Goblins,Goblins,,,,,,2.8000000000000003,7,4,0,Poison Needle Trap,1,4,4,0,0,0,1,2,2,0,0,0,1,1,1,1,2,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Goblin Hole of Icemarch,Fighter,1,Mage,2,Rogue,2,Druid,1,Boulder Trap,Goblins,Goblins,Goblins,,,,,,,,,1.2249999999999999,4,3,0,Goblins,1,1,1,0,0,0,1,2,2,0,0,0,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Goblin Tower of Calantha,Druid,4,Druid,5,Cleric,3,Cleric,5,Goblins,Goblins,Goblins,Goblins,Goblins,Snake Pit,Snake Pit,Snake Pit,Goblins,Goblin Chieftain,,,3.95,10,9,0,Goblin Chieftain,0,0,0,0,0,0,0,0,0,2,8,5,2,9,5,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Undead Keep of Azmar,Fighter,3,Ranger,2,Ranger,3,Rogue,4,Boulder Trap,Boulder Trap,Skeletons,Skeletons,Skeletons,Ghosts,,,,,,,3.0,6,4,0,Skeletons,1,3,3,2,5,3,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0
Abandoned Treasure of Sintharion,Cleric,3,Rogue,3,Ranger,3,Druid,2,Riddle Door,Lever Puzzle Room,Zombies,Boulder Trap,Riddle Door,,,,,,,,2.25,5,3,0,Boulder Trap,0,0,0,1,3,3,0,0,0,1,3,3,1,2,2,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0
Orc Warcamp of Lakeshore,Cleric,5,Fighter,5,Ranger,5,Ranger,4,Cursed Altar,Orcs,Wolves,Orcs,Wolves,Cursed Altar,Orc Warlord,,,,,,4.5,7,7,1,,1,5,5,2,9,5,0,0,0,1,5,5,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0
Old Lair of Galoron,Mage,1,Druid,3,Rogue,6,Druid,2,Riddle Door,Wolves,Orcs,Basilisk,,,,,,,,,2.75,4,3,0,Basilisk,0,0,0,0,0,0,1,1,1,0,0,0,2,5,3,1,6,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Goblin Warrens of Sintharion,Rogue,1,Rogue,1,Cleric,1,Ranger,2,Poison Needle Trap,Goblins,Goblins,,,,,,,,,,0.8999999999999999,3,3,1,,0,0,0,1,2,2,0,0,0,1,1,1,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Abandoned Dungeon of Galoron,Mage,4,Cleric,3,Rogue,4,Druid,2,Skeletons,Snake Pit,Riddle Door,Riddle Door,Zombies,Riddle Door,,,,,,,2.75,6,6,1,,0,0,0,0,0,0,1,4,4,1,3,3,1,2,2,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0
Infernal Cave of Galoron,Druid,4,Fighter,5,Mage,5,Rogue,5,Skeletons,Zombies,Skeletons,Boulder Trap,Poison Needle Trap,Lich,,,,,,,4.0,6,6,1,,1,5,5,0,0,0,1,5,5,0,0,0,1,4,4,1,5,5,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,1
Orc Fort of Darkflight Pass,Mage,3,Druid,2,Fighter,3,Mage,4,Cursed Altar,Wolves,Orc Shaman,Orc Warlord,,,,,,,,,3.0,4,4,1,,1,3,3,0,0,0,2,7,4,0,0,0,1,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Old Maw of Icemarch,Cleric,2,Fighter,3,Mage,3,Fighter,3,Snake Pit,Skeletons,Zombies,Zombies,Basilisk,,,,,,,,3.0,5,5,1,,2,6,3,0,0,0,1,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0
Sunken Lair of Galoron,Mage,4,Rogue,5,Ranger,3,Rogue,4,Wolves,Wolves,Goblins,Poison Needle Trap,Cursed Altar,Basilisk,,,,,,,3.825,6,5,0,Basilisk,0,0,0,1,3,3,1,4,4,0,0,0,0,0,0,2,9,5,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Old Lair of Calantha,Cleric,4,Rogue,3,Mage,5,Rogue,5,Zombies,Skeletons,Riddle Door,Cursed Altar,Lich,,,,,,,,3.5,5,5,1,,0,0,0,0,0,0,1,5,5,1,4,4,0,0,0,2,8,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
Lost Dungeon of Lemarchand,Ranger,3,Druid,1,Fighter,2,Cleric,2,Snake Pit,Riddle Door,Skeletons,Skeletons,,,,,,,,,1.75,4,3,0,Skeletons,1,2,2,1,3,3,0,0,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
Black Orc City of Limeneth,Fighter,6,Druid,7,Mage,6,Cleric,6,Orcs,Snake Pit,Orcs,Wolves,Wolves,Wolves,Wolves,Orcs,Snake Pit,Snake Pit,Snake Pit,Orc Shaman,7.0,12,12,1,,1,6,6,0,0,0,1,6,6,1,6,6,1,7,7,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0
Ancient Cave of Lakeshore,Druid,2,Ranger,4,Fighter,3,Ranger,3,Zombies,Skeletons,Skeletons,Snake Pit,Lich,,,,,,,,3.5,5,4,0,Lich,1,3,3,2,7,4,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0
Sunken Lair of Cheliax,Cleric,3,Cleric,2,Cleric,2,Druid,3,Wolves,Cursed Altar,Wolves,Goblins,Basilisk,,,,,,,,3.325,5,5,1,,0,0,0,0,0,0,0,0,0,3,7,3,1,3,3,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Orc Keep of Stormwind,Druid,4,Rogue,5,Druid,5,Druid,5,Cursed Altar,Wolves,Cursed Altar,Orcs,Wolves,Orc Warlord,,,,,,,4.0,6,5,0,Orc Warlord,0,0,0,0,0,0,0,0,0,0,0,0,3,14,5,1,5,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
Dread Lair of Riverfell,Druid,3,Cleric,4,Cleric,4,Ranger,5,Orcs,Wolves,Cursed Altar,Dragon,,,,,,,,,4.0,4,3,0,Dragon,0,0,0,1,5,5,0,0,0,2,8,4,1,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Undead City of Cheliax,Mage,4,Cleric,4,Druid,5,Mage,4,Skeletons,Skeletons,Skeletons,Poison Needle Trap,Poison Needle Trap,Skeletons,Skeletons,Poison Needle Trap,Skeletons,,,,4.25,9,9,1,,0,0,0,0,0,0,2,8,4,1,4,4,1,5,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
Nightmare Tomb of Galoron,Mage,4,Cleric,3,Rogue,4,Ranger,4,Lever Puzzle Room,Skeletons,Skeletons,Boulder Trap,Zombies,Lich,,,,,,,4.0,6,6,1,,0,0,0,1,4,4,1,4,4,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0
Old Cave of Lakeshore,Cleric,4,Druid,3,Ranger,3,Mage,3,Snake Pit,Zombies,Dragon,,,,,,,,,,3.25,3,3,1,,0,0,0,1,3,3,1,3,3,1,4,4,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Lost Temple of Cheliax,Mage,3,Rogue,4,Druid,4,Fighter,4,Riddle Door,Riddle Door,Snake Pit,Poison Needle Trap,Skeletons,Cursed Altar,Boulder Trap,Goblins,,,,,3.575,8,8,1,,1,4,4,0,0,0,1,3,3,0,0,0,1,4,4,1,4,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,1
Lost Treasure of Icemarch,Cleric,3,Cleric,4,Rogue,3,Mage,4,Lever Puzzle Room,Cursed Altar,Zombies,Zombies,Boulder Trap,Boulder Trap,Skeletons,Lever Puzzle Room,,,,,3.75,8,8,1,,0,0,0,0,0,0,1,4,4,2,7,4,0,0,0,1,3,3,0,0,0,0,0,0,1,2,0,0,0,0,2,2,0,1,0,0
Night Goblin Warrens of Riverfell,Mage,1,Rogue,4,Cleric,1,Cleric,1,Poison Needle Trap,Goblins,Ghosts,Goblins,,,,,,,,,1.65,4,4,1,,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,1,4,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Abandoned Temple of Cheliax,Ranger,2,Cleric,3,Ranger,3,Mage,4,Snake Pit,Cursed Altar,Poison Needle Trap,Riddle Door,Riddle Door,Goblins,Lever Puzzle Room,,,,,,3.075,7,7,1,,0,0,0,2,5,3,1,4,4,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1
Infernal Den of Azmar,Ranger,5,Rogue,5,Fighter,5,Mage,4,Zombies,Riddle Door,Boulder Trap,Skeletons,Lever Puzzle Room,Skeletons,Lich,,,,,,4.5,7,7,1,,1,5,5,1,5,5,1,4,4,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,2,1,0,0,1,0,1,1,1,0,0,0
Night Goblin Fort of Stonefell Peak,Ranger,4,Cleric,4,Cleric,4,Druid,6,Ghosts,Goblins,Goblins,Ghosts,Boulder Trap,Boulder Trap,Boulder Trap,Goblins,Goblin Chieftain,,,,4.475,9,9,1,,0,0,0,1,4,4,0,0,0,2,8,4,1,6,6,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
Lost Treasure of Galoron,Rogue,2,Ranger,2,Mage,3,Cleric,1,Skeletons,Poison Needle Trap,Lever Puzzle Room,Boulder Trap,Lever Puzzle Room,,,,,,,,2.25,5,5,1,,0,0,0,1,2,2,1,3,3,1,1,1,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1
Lost Temple of Sintharion,Druid,3,Cleric,3,Mage,3,Fighter,4,Lever Puzzle Room,Boulder Trap,Riddle Door,Wolves,Poison Needle Trap,Lever Puzzle Room,Cursed Altar,,,,,,3.5,7,7,1,,1,4,4,0,0,0,1,3,3,1,3,3,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1
Orc Tower of Lemarchand,Fighter,3,Ranger,4,Cleric,3,Druid,3,Cursed Altar,Cursed Altar,Orcs,Orcs,Orc Shaman,Orc Warlord,,,,,,,3.75,6,6,1,,1,3,3,1,4,4,0,0,0,1,3,3,1,3,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0
Black Orc Cave of Sintharion,Fighter,6,Mage,6,Cleric,5,Druid,5,Poison Needle Trap,Orc Shaman,Wolves,Poison Needle Trap,Orc Warlord,Orc Warlord,,,,,,,4.75,6,6,1,,1,6,6,0,0,0,1,6,6,1,5,5,1,5,5,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2
Forgotten Temple of Calantha,Mage,4,Ranger,3,Cleric,5,Rogue,4,Ghosts,Poison Needle Trap,Zombies,Lever Puzzle Room,Lever Puzzle Room,Zombies,Boulder Trap,Orcs,,,,,4.0,8,8,1,,0,0,0,1,3,3,1,4,4,1,5,5,0,0,0,1,4,4,0,0,0,1,0,0,0,2,1,0,0,0,1,2,0,0,0,1
Goblin Town of Icemarch,Druid,2,Fighter,1,Rogue,2,Druid,3,Goblins,Goblins,Snake Pit,Goblins,Snake Pit,Goblins,,,,,,,2.05,6,1,0,Goblins,1,1,1,0,0,0,0,0,0,0,0,0,2,5,3,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Orc Cave of Azmar,Rogue,4,Cleric,4,Fighter,4,Rogue,5,Orcs,Poison Needle Trap,Orcs,Wolves,Poison Needle Trap,Wolves,Orc Warlord,,,,,,4.5,7,7,1,,1,4,4,0,0,0,0,0,0,1,4,4,0,0,0,2,9,5,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Abandoned Dungeon of Darkflight Pass,Rogue,4,Cleric,4,Fighter,4,Druid,5,Cursed Altar,Cursed Altar,Poison Needle Trap,Ghosts,Snake Pit,Lich,,,,,,,4.25,6,6,1,,1,4,4,0,0,0,0,0,0,1,4,4,1,5,5,1,4,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1
Nightmare Lair of Limeneth,Mage,3,Rogue,2,Rogue,4,Fighter,1,Orcs,Cursed Altar,Basilisk,,,,,,,,,,2.0,3,3,1,,1,1,1,0,0,0,1,3,3,0,0,0,0,0,0,2,6,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
