Dungeon Name,Adventurer 1 Class,Adventurer 1 Level,Adventurer 2 Class,Adventurer 2 Level,Adventurer 3 Class,Adventurer 3 Level,Adventurer 4 Class,Adventurer 4 Level,Encounter 1,Encounter 2,Encounter 3,Encounter 4,Encounter 5,Encounter 6,Encounter 7,Encounter 8,Encounter 9,Encounter 10,Encounter 11,Encounter 12,# Encounters,# Encounters Beaten,Victory?,Defeated By,# of Fighter Adventurers,Total Level of Fighter Adventurers,Max Level of Fighter Adventurers,# of Ranger Adventurers,Total Level of Ranger Adventurers,Max Level of Ranger Adventurers,# of Mage Adventurers,Total Level of Mage Adventurers,Max Level of Mage Adventurers,# of Cleric Adventurers,Total Level of Cleric Adventurers,Max Level of Cleric Adventurers,# of Druid Adventurers,Total Level of Druid Adventurers,Max Level of Druid Adventurers,# of Rogue Adventurers,Total Level of Rogue Adventurers,Max Level of Rogue Adventurers,# of Goblins Encounters,# of Goblin Chieftain Encounters,# of Wolves Encounters,# of Orcs Encounters,# of Orc Warlord Encounters,# of Orc Shaman Encounters,# of Skeletons Encounters,# of Zombies Encounters,# of Ghosts Encounters,# of Basilisk Encounters,# of Lich Encounters,# of Dragon Encounters,# of Boulder Trap Encounters,# of Lever Puzzle Room Encounters,# of Riddle Door Encounters,# of Cursed Altar Encounters,# of Snake Pit Encounters,# of Poison Needle Trap Encounters
Lost Temple of Almadris,Mage,3,Rogue,4,Rogue,5,Fighter,3,Lever Puzzle Room,Cursed Altar,Snake Pit,Skeletons,Cursed Altar,Unknown,Unknown,Unknown,,,,,8,4,0,Cursed Altar,1,3,3,0,0,0,1,3,3,0,0,0,0,0,0,2,9,5,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2,1,0
Abandoned Treasure of Lakeshore,Druid,5,Ranger,5,Druid,6,Ranger,5,Skeletons,Cursed Altar,Poison Needle Trap,Poison Needle Trap,Boulder Trap,Dragon,Unknown,,,,,,7,5,0,Dragon,0,0,0,2,10,5,0,0,0,0,0,0,2,11,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,2
Dread Den of Limeneth,Rogue,4,Mage,4,Druid,5,Druid,4,Orcs,Cursed Altar,Wolves,Wolves,Snake Pit,Basilisk,,,,,,,6,6,1,,0,0,0,0,0,0,1,4,4,0,0,0,2,9,5,1,4,4,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Undead Ziggurat of Stormwind,Rogue,4,Druid,2,Ranger,4,Ranger,2,Zombies,Skeletons,Zombies,Poison Needle Trap,Poison Needle Trap,Skeletons,,,,,,,6,5,0,Skeletons,0,0,0,2,6,4,0,0,0,0,0,0,1,2,2,1,4,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2
Timeless Dungeon of Lemarchand,Rogue,6,Fighter,7,Rogue,6,Druid,7,Snake Pit,Cursed Altar,Riddle Door,Wolves,Zombies,Boulder Trap,Lich,Unknown,,,,,8,6,0,Lich,1,7,7,0,0,0,0,0,0,0,0,0,1,7,7,2,12,6,0,0,1,0,0,0,0,1,0,0,2,0,1,0,1,1,1,0
Orc Keep of Almadris,Mage,5,Ranger,4,Fighter,6,Rogue,6,Poison Needle Trap,Wolves,Poison Needle Trap,Orc Shaman,Wolves,Orc Shaman,Orc Warlord,,,,,,7,7,1,,1,6,6,1,4,4,1,5,5,0,0,0,0,0,0,1,6,6,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2
Infernal Lair of Calantha,Cleric,3,Cleric,5,Mage,3,Cleric,6,Skeletons,Boulder Trap,Zombies,Zombies,Snake Pit,Dragon,,,,,,,6,6,1,,0,0,0,0,0,0,1,3,3,3,14,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0
Ancient Lair of Azmar,Fighter,4,Ranger,3,Fighter,3,Mage,5,Zombies,Riddle Door,Poison Needle Trap,Cursed Altar,Skeletons,Lich,,,,,,,6,5,0,Lich,2,7,4,1,3,3,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1
Old Den of Stormwind,Mage,4,Ranger,4,Fighter,2,Cleric,3,Riddle Door,Boulder Trap,Wolves,Cursed Altar,Basilisk,,,,,,,,5,5,1,,1,2,2,1,4,4,1,4,4,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
Sunken Cave of Lemarchand,Mage,4,Mage,3,Cleric,3,Fighter,4,Poison Needle Trap,Wolves,Dragon,,,,,,,,,,3,2,0,Dragon,1,4,4,0,0,0,2,7,4,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Undead Sepulcher of Stonefell Peak,Mage,2,Rogue,1,Fighter,1,Ranger,2,Zombies,Poison Needle Trap,Zombies,,,,,,,,,,3,3,1,,1,1,1,1,2,2,1,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
Undead Keep of Darkflight Pass,Cleric,2,Cleric,2,Ranger,4,Mage,4,Zombies,Cursed Altar,Skeletons,Lich,,,,,,,,,4,4,1,,0,0,0,1,4,4,1,4,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
Ancient Lair of Khaz-Gorond,Ranger,5,Druid,5,Ranger,5,Rogue,5,Skeletons,Zombies,Cursed Altar,Lever Puzzle Room,Zombies,Riddle Door,Unknown,,,,,,7,5,0,Riddle Door,0,0,0,2,10,5,0,0,0,0,0,0,1,5,5,1,5,5,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,1,0,0
Undead Sepulcher of Stormwind,Mage,4,Cleric,5,Rogue,6,Ranger,3,Ghosts,Zombies,Skeletons,Boulder Trap,Boulder Trap,Ghosts,Ghosts,,,,,,7,7,1,,0,0,0,1,3,3,1,4,4,1,5,5,0,0,0,1,6,6,0,0,0,0,0,0,1,1,3,0,0,0,2,0,0,0,0,0
Infernal Maw of Lemarchand,Rogue,6,Mage,5,Ranger,4,Cleric,3,Poison Needle Trap,Goblins,Goblins,Snake Pit,Dragon,,,,,,,,5,5,1,,0,0,0,1,4,4,1,5,5,1,3,3,0,0,0,1,6,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Orc Keep of Sintharion,Mage,4,Cleric,3,Druid,4,Druid,3,Wolves,Orcs,Boulder Trap,Orcs,Boulder Trap,Orcs,Unknown,,,,,,7,5,0,Orcs,0,0,0,0,0,0,1,4,4,1,3,3,2,7,4,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0
Goblin Warrens of Galoron,Cleric,3,Mage,5,Fighter,3,Rogue,4,Goblins,Goblins,Poison Needle Trap,Goblins,Poison Needle Trap,Poison Needle Trap,Goblins,Goblins,Goblins,Unknown,,,10,8,0,Goblins,1,3,3,0,0,0,1,5,5,1,3,3,0,0,0,1,4,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Abandoned Dungeon of Khaz-Gorond,Ranger,3,Cleric,3,Cleric,1,Fighter,3,Ghosts,Poison Needle Trap,Cursed Altar,Cursed Altar,,,,,,,,,4,4,1,,1,3,3,1,3,3,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
Dread Den of Stonefell Peak,Druid,5,Cleric,4,Fighter,4,Rogue,4,Snake Pit,Wolves,Riddle Door,Dragon,,,,,,,,,4,3,0,Dragon,1,4,4,0,0,0,0,0,0,1,4,4,1,5,5,1,4,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Forgotten Dungeon of Azmar,Rogue,4,Druid,3,Rogue,5,Ranger,4,Boulder Trap,Poison Needle Trap,Zombies,Cursed Altar,Ghosts,Boulder Trap,Poison Needle Trap,Skeletons,,,,,8,7,0,Skeletons,0,0,0,1,4,4,0,0,0,0,0,0,1,3,3,2,9,5,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,0,2
Dread Cave of Stormwind,Fighter,4,Rogue,6,Ranger,4,Druid,4,Lever Puzzle Room,Wolves,Poison Needle Trap,Wolves,Riddle Door,Wolves,Basilisk,,,,,,7,7,1,,1,4,4,1,4,4,0,0,0,0,0,0,1,4,4,1,6,6,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
Lost Treasure of Azmar,Mage,3,Ranger,3,Cleric,3,Mage,4,Skeletons,Zombies,Lever Puzzle Room,Riddle Door,Snake Pit,Skeletons,Skeletons,,,,,,7,7,1,,0,0,0,1,3,3,2,7,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,1,0
Timeless Dungeon of Stonefell Peak,Fighter,4,Mage,3,Fighter,3,Druid,4,Lever Puzzle Room,Lever Puzzle Room,Boulder Trap,Skeletons,Lever Puzzle Room,Unknown,Unknown,Unknown,,,,,8,4,0,Lever Puzzle Room,2,7,4,0,0,0,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,4,0,0,0,0
Orc Camp of Khaz-Gorond,Druid,1,Rogue,3,Cleric,3,Fighter,3,Wolves,Boulder Trap,Orcs,Orc Warlord,,,,,,,,,4,4,1,,1,3,3,0,0,0,0,0,0,1,3,3,1,1,1,1,3,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Sunken Den of Lemarchand,Rogue,2,Rogue,3,Fighter,2,Mage,3,Skeletons,Riddle Door,Lich,,,,,,,,,,3,2,0,Lich,1,2,2,0,0,0,1,3,3,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Lost Dungeon of Riverfell,Cleric,2,Rogue,3,Fighter,2,Rogue,3,Lever Puzzle Room,Snake Pit,Snake Pit,Ghosts,Goblins,Zombies,,,,,,,6,6,1,,1,2,2,0,0,0,0,0,0,1,2,2,0,0,0,2,6,3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0
Forgotten Treasure of Icemarch,Fighter,4,Fighter,1,Fighter,3,Rogue,3,Lever Puzzle Room,Boulder Trap,Boulder Trap,Lever Puzzle Room,Zombies,Unknown,,,,,,,6,4,0,Zombies,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0
Dread Cave of Galoron,Mage,2,Cleric,3,Fighter,3,Druid,2,Riddle Door,Poison Needle Trap,Wolves,Basilisk,,,,,,,,,4,4,1,,1,3,3,0,0,0,1,2,2,1,3,3,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Abandoned Treasure of Icemarch,Druid,3,Rogue,3,Fighter,3,Rogue,4,Lever Puzzle Room,Lever Puzzle Room,Zombies,Poison Needle Trap,Poison Needle Trap,Cursed Altar,,,,,,,6,5,0,Cursed Altar,1,3,3,0,0,0,0,0,0,0,0,0,1,3,3,2,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2
Infernal Lair of Cheliax,Cleric,4,Ranger,5,Druid,3,Ranger,4,Cursed Altar,Skeletons,Skeletons,Riddle Door,Riddle Door,Lich,,,,,,,6,6,1,,0,0,0,2,9,5,0,0,0,1,4,4,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,1,0,0
Orc Town of Stonefell Peak,Fighter,4,Rogue,8,Cleric,5,Mage,4,Orcs,Poison Needle Trap,Wolves,Orcs,Poison Needle Trap,Orcs,Poison Needle Trap,Orcs,Orcs,Orc Shaman,,,10,10,1,,1,4,4,0,0,0,1,4,4,1,5,5,0,0,0,1,8,8,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Abandoned Treasure of Riverfell,Druid,2,Fighter,3,Cleric,2,Cleric,3,Skeletons,Skeletons,Boulder Trap,Ghosts,Boulder Trap,,,,,,,,5,5,1,,1,3,3,0,0,0,0,0,0,2,5,3,1,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0
Dread Cave of Stormwind,Mage,3,Fighter,2,Cleric,3,Druid,3,Riddle Door,Riddle Door,Wolves,Basilisk,,,,,,,,,4,4,1,,1,2,2,0,0,0,1,3,3,1,3,3,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Forgotten Treasure of Riverfell,Mage,8,Rogue,7,Fighter,8,Druid,6,Dragon,Boulder Trap,Lever Puzzle Room,Dragon,Cursed Altar,Unknown,Unknown,,,,,,7,4,0,Cursed Altar,1,8,8,0,0,0,1,8,8,0,0,0,1,6,6,1,7,7,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,1,0,0
Ancient Tomb of Cheliax,Cleric,5,Ranger,3,Mage,3,Rogue,7,Skeletons,Zombies,Riddle Door,Zombies,Cursed Altar,Lich,,,,,,,6,6,1,,0,0,0,1,3,3,1,3,3,1,5,5,0,0,0,1,7,7,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,0
Lost Dungeon of Calantha,Ranger,3,Fighter,2,Fighter,2,Rogue,2,Skeletons,Boulder Trap,Zombies,Riddle Door,Snake Pit,,,,,,,,5,4,0,Snake Pit,2,4,2,1,3,3,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Forgotten Treasure of Calantha,Mage,4,Cleric,4,Rogue,4,Ranger,5,Poison Needle Trap,Skeletons,Lever Puzzle Room,Cursed Altar,Riddle Door,Basilisk,Wolves,,,,,,7,6,0,Wolves,0,0,0,1,5,5,1,4,4,1,4,4,0,0,0,1,4,4,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1
Nightmare Maw of Galoron,Druid,4,Druid,2,Fighter,3,Ranger,2,Skeletons,Poison Needle Trap,Zombies,Unknown,Unknown,Unknown,,,,,,,6,2,0,Zombies,1,3,3,1,2,2,0,0,0,0,0,0,2,6,4,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1
Lost Dungeon of Riverfell,Fighter,5,Cleric,5,Fighter,3,Mage,4,Zombies,Snake Pit,Snake Pit,Boulder Trap,Skeletons,Wolves,Boulder Trap,Wolves,Lever Puzzle Room,,,,9,9,1,,2,8,5,0,0,0,1,4,4,1,5,5,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,1,0,0,2,0
Orc Camp of Calantha,Cleric,2,Mage,3,Fighter,3,Rogue,6,Orcs,Orcs,Snake Pit,Snake Pit,Wolves,Orcs,,,,,,,6,6,1,,1,3,3,0,0,0,1,3,3,1,2,2,0,0,0,1,6,6,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Nightmare Tomb of Sintharion,Cleric,4,Cleric,2,Ranger,3,Druid,5,Boulder Trap,Boulder Trap,Zombies,Poison Needle Trap,Lich,,,,,,,,5,4,0,Lich,0,0,0,1,3,3,0,0,0,2,6,4,1,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1
Timeless Treasure of Stonefell Peak,Mage,2,Fighter,3,Rogue,5,Fighter,3,Wolves,Orcs,Cursed Altar,Orcs,Riddle Door,Riddle Door,Cursed Altar,,,,,,7,6,0,Cursed Altar,2,6,3,0,0,0,1,2,2,0,0,0,0,0,0,1,5,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
Black Orc Town of Stonefell Peak,Fighter,5,Ranger,5,Rogue,6,Fighter,6,Orcs,Wolves,Orc Warlord,Orcs,Cursed Altar,Orcs,Cursed Altar,Cursed Altar,Orc Shaman,,,,9,8,0,Orc Shaman,2,11,6,1,5,5,0,0,0,0,0,0,0,0,0,1,6,6,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,3,0,0
Orc Fort of Stonefell Peak,Mage,5,Druid,5,Fighter,5,Fighter,5,Orcs,Cursed Altar,Wolves,Orcs,Cursed Altar,Orcs,Orcs,Orcs,Cursed Altar,Orcs,,,10,10,1,,2,10,5,0,0,0,1,5,5,0,0,0,1,5,5,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Nightmare Cave of Darkflight Pass,Ranger,4,Mage,5,Rogue,5,Mage,4,Snake Pit,Cursed Altar,Snake Pit,Wolves,Dragon,,,,,,,,5,4,0,Dragon,0,0,0,1,4,4,2,9,5,0,0,0,0,0,0,1,5,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
Undead City of Khaz-Gorond,Mage,7,Cleric,6,Cleric,5,Fighter,5,Zombies,Zombies,Cursed Altar,Zombies,Skeletons,Cursed Altar,Ghosts,Cursed Altar,Zombies,Lich,,,10,10,1,,1,5,5,0,0,0,1,7,7,2,11,6,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,3,0,0
Dread Den of Icemarch,Fighter,3,Ranger,2,Rogue,2,Cleric,3,Poison Needle Trap,Skeletons,Lich,,,,,,,,,,3,2,0,Lich,1,3,3,1,2,2,0,0,0,1,3,3,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Lost Dungeon of Azmar,Cleric,3,Rogue,7,Druid,4,Mage,3,Snake Pit,Poison Needle Trap,Lever Puzzle Room,Basilisk,Skeletons,Zombies,,,,,,,6,6,1,,0,0,0,0,0,0,1,3,3,1,3,3,1,4,4,1,7,7,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
Forgotten Treasure of Sintharion,Druid,4,Rogue,4,Cleric,5,Ranger,5,Skeletons,Riddle Door,Poison Needle Trap,Ghosts,Lever Puzzle Room,Ghosts,Cursed Altar,Boulder Trap,,,,,8,8,1,,0,0,0,1,5,5,0,0,0,1,5,5,1,4,4,1,4,4,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,1,0,1
Ancient Lair of Galoron,Cleric,5,Fighter,6,Rogue,6,Mage,4,Poison Needle Trap,Lever Puzzle Room,Goblins,Wolves,Riddle Door,Wolves,Dragon,,,,,,7,6,0,Dragon,1,6,6,0,0,0,1,4,4,1,5,5,0,0,0,1,6,6,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Sunken Maw of Lemarchand,Mage,3,Cleric,4,Druid,3,Cleric,4,Wolves,Boulder Trap,Dragon,,,,,,,,,,3,2,0,Dragon,0,0,0,0,0,0,1,3,3,2,8,4,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sunken Lair of Calantha,Ranger,4,Ranger,3,Ranger,6,Cleric,4,Lever Puzzle Room,Skeletons,Zombies,Skeletons,Dragon,,,,,,,,5,5,1,,0,0,0,3,13,6,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0
Orc Fort of Stormwind,Fighter,2,Ranger,3,Rogue,6,Cleric,3,Orcs,Snake Pit,Orc Shaman,Orc Warlord,,,,,,,,,4,4,1,,1,2,2,1,3,3,0,0,0,1,3,3,0,0,0,1,6,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Nightmare Lair of Limeneth,Mage,3,Fighter,2,Cleric,2,Ranger,2,Wolves,Cursed Altar,Goblins,Basilisk,,,,,,,,,4,4,1,,1,2,2,1,2,2,1,3,3,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Dread Lair of Stonefell Peak,Mage,4,Cleric,3,Rogue,5,Druid,4,Zombies,Zombies,Boulder Trap,Poison Needle Trap,Dragon,,,,,,,,5,4,0,Dragon,0,0,0,0,0,0,1,4,4,1,3,3,1,4,4,1,5,5,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1
Mountain Goblin Cave of Almadris,Druid,3,Rogue,5,Druid,1,Mage,2,Boulder Trap,Goblins,Wolves,Goblin Chieftain,,,,,,,,,4,4,1,,0,0,0,0,0,0,1,2,2,0,0,0,2,4,3,1,5,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Forgotten Temple of Darkflight Pass,Rogue,3,Fighter,4,Rogue,5,Druid,3,Zombies,Boulder Trap,Ghosts,Snake Pit,Cursed Altar,Ghosts,,,,,,,6,5,0,Ghosts,1,4,4,0,0,0,0,0,0,0,0,0,1,3,3,2,8,5,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,1,0
Black Orc Fort of Lakeshore,Ranger,1,Mage,1,Fighter,1,Mage,2,Orcs,Poison Needle Trap,Wolves,Unknown,,,,,,,,,4,2,0,Wolves,1,1,1,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Goblin Tower of Almadris,Druid,4,Ranger,4,Ranger,4,Rogue,4,Goblins,Goblins,Snake Pit,Goblins,Snake Pit,Goblins,Goblins,Goblins,Snake Pit,Goblin Chieftain,,,10,9,0,Goblin Chieftain,0,0,0,2,8,4,0,0,0,0,0,0,1,4,4,1,4,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Lost Treasure of Galoron,Fighter,6,Mage,7,Druid,6,Fighter,6,Ghosts,Snake Pit,Riddle Door,Zombies,Cursed Altar,Poison Needle Trap,Lich,Lich,,,,,8,8,1,,2,12,6,0,0,0,1,7,7,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,1,1
Ancient Maw of Stonefell Peak,Cleric,4,Fighter,4,Ranger,6,Mage,6,Zombies,Cursed Altar,Riddle Door,Zombies,Zombies,Cursed Altar,Dragon,,,,,,7,7,1,,1,4,4,1,6,6,1,6,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,2,0,0
Mountain Goblin Town of Sintharion,Rogue,3,Druid,3,Rogue,4,Fighter,4,Goblins,Goblins,Goblins,Boulder Trap,Boulder Trap,Boulder Trap,Goblins,Unknown,Unknown,,,,9,6,0,Goblins,1,4,4,0,0,0,0,0,0,0,0,0,1,3,3,2,7,4,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Nightmare Lair of Limeneth,Rogue,6,Druid,2,Fighter,3,Druid,3,Poison Needle Trap,Snake Pit,Riddle Door,Zombies,Lich,,,,,,,,5,5,1,,1,3,3,0,0,0,0,0,0,0,0,0,2,5,3,1,6,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
Old Lair of Lakeshore,Druid,6,Fighter,4,Rogue,7,Ranger,5,Wolves,Wolves,Orcs,Riddle Door,Snake Pit,Cursed Altar,Dragon,,,,,,7,6,0,Dragon,1,4,4,1,5,5,0,0,0,0,0,0,1,6,6,1,7,7,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Abandoned Temple of Stormwind,Druid,4,Ranger,3,Rogue,4,Mage,3,Ghosts,Zombies,Ghosts,Poison Needle Trap,Ghosts,Poison Needle Trap,,,,,,,6,6,1,,0,0,0,1,3,3,1,3,3,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2
Undead Keep of Limeneth,Cleric,5,Rogue,5,Rogue,5,Ranger,6,Zombies,Skeletons,Skeletons,Poison Needle Trap,Skeletons,Poison Needle Trap,Poison Needle Trap,Skeletons,Lich,,,,9,9,1,,0,0,0,1,6,6,0,0,0,1,5,5,0,0,0,2,10,5,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,3
Lost Treasure of Cheliax,Rogue,4,Ranger,1,Fighter,2,Druid,2,Boulder Trap,Boulder Trap,Snake Pit,Ghosts,Unknown,,,,,,,,5,3,0,Ghosts,1,2,2,1,1,1,0,0,0,0,0,0,1,2,2,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0
Sunken Den of Icemarch,Cleric,4,Fighter,4,Druid,5,Ranger,5,Orcs,Wolves,Boulder Trap,Cursed Altar,Orcs,Poison Needle Trap,Basilisk,,,,,,7,7,1,,1,4,4,1,5,5,0,0,0,1,4,4,1,5,5,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1
Dread Den of Stormwind,Cleric,3,Fighter,4,Rogue,3,Ranger,4,Lever Puzzle Room,Wolves,Boulder Trap,Lever Puzzle Room,Basilisk,,,,,,,,5,5,1,,1,4,4,1,4,4,0,0,0,1,3,3,0,0,0,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0
Nightmare Maw of Calantha,Rogue,5,Fighter,5,Druid,5,Cleric,5,Orcs,Wolves,Orcs,Riddle Door,Riddle Door,Snake Pit,Dragon,,,,,,7,6,0,Dragon,1,5,5,0,0,0,0,0,0,1,5,5,1,5,5,1,5,5,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0
Lost Treasure of Calantha,Rogue,3,Ranger,4,Druid,4,Fighter,1,Skeletons,Cursed Altar,Poison Needle Trap,Poison Needle Trap,Poison Needle Trap,Cursed Altar,,,,,,,6,5,0,Cursed Altar,1,1,1,1,4,4,0,0,0,0,0,0,1,4,4,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3
Dread Den of Limeneth,Fighter,4,Cleric,5,Fighter,5,Druid,6,Goblins,Wolves,Lever Puzzle Room,Wolves,Poison Needle Trap,Cursed Altar,Basilisk,,,,,,7,7,1,,2,9,5,0,0,0,0,0,0,1,5,5,1,6,6,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Abandoned Temple of Lakeshore,Fighter,4,Ranger,4,Ranger,4,Cleric,3,Skeletons,Boulder Trap,Zombies,Goblins,Goblins,Snake Pit,Poison Needle Trap,Lever Puzzle Room,Cursed Altar,,,,9,9,1,,1,4,4,2,8,4,0,0,0,1,3,3,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1
Mountain Goblin Tunnels of Limeneth,Mage,3,Druid,2,Cleric,1,Ranger,2,Poison Needle Trap,Wolves,Goblin Chieftain,,,,,,,,,,3,3,1,,0,0,0,1,2,2,1,3,3,1,1,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Timeless Dungeon of Lakeshore,Druid,3,Rogue,4,Mage,2,Cleric,2,Poison Needle Trap,Poison Needle Trap,Riddle Door,Skeletons,Poison Needle Trap,,,,,,,,5,5,1,,0,0,0,0,0,0,1,2,2,1,2,2,1,3,3,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
Night Goblin Cave of Stonefell Peak,Mage,4,Rogue,4,Cleric,3,Ranger,4,Snake Pit,Goblins,Snake Pit,Ghosts,Goblins,Snake Pit,Goblins,Goblins,Goblin Chieftain,,,,9,9,1,,0,0,0,1,4,4,1,4,4,1,3,3,0,0,0,1,4,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
Goblin Town of Galoron,Druid,4,Fighter,5,Fighter,4,Cleric,4,Snake Pit,Goblins,Goblins,Goblins,Goblins,Snake Pit,Snake Pit,Goblins,Goblin Chieftain,,,,9,8,0,Goblin Chieftain,2,9,5,0,0,0,0,0,0,1,4,4,1,4,4,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
